Species	AphisID	ImageLink	Group
Striarca lactea	140571	https://images.marinespecies.org/thumbs/32184_striarca-lactea-linnaeus-1758-shell-from-calahonda-southern-spain-actual-size-10-and-11-5-mm.jpg?w=700	Bivalvia
Ostrea edulis	140658	https://upload.wikimedia.org/wikipedia/commons/4/4c/Ostrea_edulis.jpg	Bivalvia
Pinna nobilis	140780	https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Pinna_nobilis_at_Savudrija-2014.JPG/1024px-Pinna_nobilis_at_Savudrija-2014.JPG	Bivalvia
Chama gryphoides	139119	https://images.marinespecies.org/thumbs/56855_chama-gryphoides.jpg?w=700	Bivalvia
Echinolittorina punctata	345757	https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Echinolittorina_punctata_01.JPG/1280px-Echinolittorina_punctata_01.JPG	Gastropoda
Ocenebra erinaceus	140405	https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Ocenebra_erinaceus_torosa_01.JPG/1024px-Ocenebra_erinaceus_torosa_01.JPG	Gastropoda
Pecten maximus	140712	https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Pecten_jacobaeus.jpg/1024px-Pecten_jacobaeus.jpg	Bivalvia
Scissurella costata	141420	http://www.idscaro.net/sci/04_med/pictures/fam3/scissurella_costata1.jpg	Gastropoda
Coralliophila brevis	139398	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Coralliophila_brevis_01.JPG/1280px-Coralliophila_brevis_01.JPG	Gastropoda
Muricopsis cristata	140401	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Muricopsis_cristata_01.JPG/1024px-Muricopsis_cristata_01.JPG	Gastropoda
Papillicardium papillosum	181349	https://naturalhistory.museumwales.ac.uk/biosyb_images/images/M010000_M011999/Web/jpegs/M010650.jpg	Bivalvia
Limatula subauriculata	140242	https://images.marinespecies.org/thumbs/67260_limatula-subauriculata.jpg?w=700	Bivalvia
Donax variegatus	152220	https://images.marinespecies.org/thumbs/57156_donax-variegatus.jpg?w=700	Bivalvia
Nucula nitidosa	140589	https://www.marlin.ac.uk/assets/images/marlin/species/web/o_nucnit2.jpg	Bivalvia
Nucula nucleus	140590	https://naturalhistory.museumwales.ac.uk/biosyb_images/images/M010000_M011999/Web/jpegs/M010260.jpg	Bivalvia
Nucula sulcata	140592	https://images.marinespecies.org/thumbs/63259_nucula-sulcata.jpg?w=700	Bivalvia
Parvicardium exiguum	139008	https://upload.wikimedia.org/wikipedia/commons/b/be/Parvicardium_exiguum.jpg	Bivalvia
