Species	AphisID	ImageLink	Group
Chromis chromis	127000	https://upload.wikimedia.org/wikipedia/commons/9/9a/Chromis_chromis_2.jpg	Actinopteri
Anthias anthias	127031	https://www.meerwasser-lexikon.de/imgHaupt/39826_rZWqkW1Hqt.jpg	Actinopteri
Trachinus radiatus	127083	https://upload.wikimedia.org/wikipedia/commons/a/a1/Trachinus_radiatus_showy_Kato_Koufonissi.jpg	Actinopteri
Blennius ocellaris	126761	https://upload.wikimedia.org/wikipedia/commons/d/dc/Blennius_ocellaris_Messina.jpg	Actinopteri
Chlorurus troschelii	277511	https://www.fishbase.se/images/species/Chtro_u0.jpg	Actinopteri
Gobius fallax	126889	https://www.fishbase.se/images/species/Gofal_u2.jpg	Actinopteri
Symphurus nigrescens	127134	https://www.fishbase.se/images/species/Synig_u2.jpg	Actinopteri
Stomias boa	127374	https://fishesofaustralia.net.au/images/image/StomiasBoaNOAAOkeanos.jpg	Actinopteri
Helicolenus dactylopterus	127251	https://upload.wikimedia.org/wikipedia/commons/6/64/Fish4271_-_Flickr_-_NOAA_Photo_Library.jpg	Actinopteri
Delphinus delphis	137094	https://upload.wikimedia.org/wikipedia/commons/0/00/Delphinus_delphis_03-cropped.jpg	Mammalia
Coris julis	126963	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Coris_julis_%28female%29.jpg/1280px-Coris_julis_%28female%29.jpg	Actinopteri
Bathyuroconger vicinus	126284	https://biogeodb.stri.si.edu/caribbean/resources/img/images/species/2871_12502.jpg	Actinopteri
Didemnum coriaceum	103565	https://www.mer-littoral.org/32/photos/didemnum-coriaceum-1p.jpg	Ascidiacea
Pagellus bogaraveo	127059	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Ollomol_02-01.JPG/1280px-Ollomol_02-01.JPG	Actinopteri
Vanneaugobius pruvoti	126940	https://inaturalist-open-data.s3.amazonaws.com/photos/40027418/medium.jpeg	Actinopteri
Gadiculus argenteus	126435	https://www.mindenpictures.com/cache/pcache2/00595008.jpg	Actinopteri
Xiphias gladius	127094	https://upload.wikimedia.org/wikipedia/commons/6/6c/Xiphias_gladius_stuffed.jpg	Actinopteri
Bathysolea profundicola	127152	https://scandposters.com/images/scandposters.com/illustrations/fish/b/bathysolea_profundicola_bon-p.jpg	Actinopteri
Ophidion rochei	126676	https://images.marinespecies.org/thumbs/75964_ophidion-rochei.jpg?w=700	Actinopteri
Synchiropus phaeton	126798	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Synchiropus_phaeton_01.JPG/1920px-Synchiropus_phaeton_01.JPG	Actinopteri
Tripterygion melanurum	712816	https://www.meerwasser-lexikon.de/imgHaupt/51062_5895fbc4c8dfe.jpg	Actinopteri
Hymenocephalus italicus	158961	https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Hymenocephalus_italicus_01.JPG/800px-Hymenocephalus_italicus_01.JPG	Actinopteri
Microchirus variegatus	274304	https://www.fishbase.se/images/species/Mivar_u1.jpg	Actinopteri
Merluccius merluccius	126484	https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Merluccius_merluccius.002_-_Aquarium_Finisterrae.JPG/1024px-Merluccius_merluccius.002_-_Aquarium_Finisterrae.JPG	Actinopteri
Raja montagui	105887	https://www.meerwasser-lexikon.de/imgHaupt/20940_kTdCCCav34.jpg	Elasmobranchii
Epinephelus marginatus	127036	https://upload.wikimedia.org/wikipedia/commons/5/55/Epinephelus_marginatus.jpg	Actinopteri
Chromogobius quadrivittatus	126874	https://www.meerwasser-lexikon.de/imgHaupt/18545_UUkxMH1q9c.jpg	Actinopteri
Parablennius incognitus	126771	https://www.meerwasser-lexikon.de/imgHaupt/26361_FLMG1c3qGL.jpg	Actinopteri
Lipophrys trigloides	302165	https://upload.wikimedia.org/wikipedia/commons/8/87/Paralipophrys_trigloides_%28Stefano_Guerrieri%29.jpg	Actinopteri
Labrus viridis	126968	https://www.meerwasser-lexikon.de/imgHaupt/18636_Lq1NnqLbLA.jpg	Actinopteri
Oxynotus centrina	105914	https://zoogalaxy.net/assets/images/pisces/selachii/squaliformes/oxynotus-centrina/oxynotus-centrina_01_zoogalaxy.jpg	Elasmobranchii
Aulopus filamentosus	126335	https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Taxidermied_Aulopus_filamentosus.JPG/1920px-Taxidermied_Aulopus_filamentosus.JPG	Actinopteri
Chromis multilineata	273743	https://www.meerwasser-lexikon.de/imgHaupt/31222_F5FMrDB75n.jpg	Actinopteri
Chelidonichthys lucerna	127262	https://upload.wikimedia.org/wikipedia/commons/c/c7/Chelidonichthys_lucerna_Cres.JPG	Actinopteri
Gobius cruentatus	126888	https://inaturalist-open-data.s3.amazonaws.com/photos/477066/large.png	Actinopteri
Macroramphosus scolopax	127378	https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Macroramphosus_scolopax_-_Wilhelma_01.jpg/1920px-Macroramphosus_scolopax_-_Wilhelma_01.jpg	Actinopteri
Microcosmus sabatieri	103844	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Microcosmus_sabatieri.jpg/1024px-Microcosmus_sabatieri.jpg	Ascidiacea
Microlipophrys canevae	1011877	https://www.meerwasser-lexikon.de/imgHaupt/69492_613e5c9e62ea8.jpg	Actinopteri
Epigonus denticulatus	126857	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Epigonus_denticulatus.jpg/1200px-Epigonus_denticulatus.jpg	Actinopteri
Parablennius gattorugine	126770	https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Parablenniusgattorugine.JPG/1024px-Parablenniusgattorugine.JPG	Actinopteri
Ascidia mentula	103710	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Ascidia_mentula.jpg/800px-Ascidia_mentula.jpg	Ascidiacea
Globicephala macrorhynchus	137096	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Globicephala_macrorhynchus_Kurzflossen-Grindwal_DSCF8148.JPG/450px-Globicephala_macrorhynchus_Kurzflossen-Grindwal_DSCF8148.JPG	Mammalia
Scorpaena elongata	127242	https://www.monaconatureencyclopedia.com/wp-content/uploads/2012/12/jpg_Lo_Scorfano_rosa_Scorpaena_elongata_e_relativente_allungato_senza_spine_velenose_c_Giuseppe_Mazza.jpg	Actinopteri
Parablennius zvonimiri	126778	https://www.meerwasser-lexikon.de/imgHaupt/45711_FDUGV8hah5.jpg	Actinopteri
Polysyncraton bilobatum	103590	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Polysyncraton_bilobatum_Lafargue%2C_1968.jpg/1280px-Polysyncraton_bilobatum_Lafargue%2C_1968.jpg	Ascidiacea
Bathypterois dubius	126342	https://www.fishbase.se/images/species/Badub_u1.jpg	Actinopteri
Chelidonichthys cuculus	127259	https://www.fishbase.se/images/species/Chcuc_u3.jpg	Actinopteri
Symphodus rostratus	273574	https://www.meerwasser-lexikon.de/imgHaupt/18352_3kBa1RVJVe.jpg	Actinopteri
Ceratoscopelus maderensis	126585	https://fishbase.mnhn.fr/images/species/Cemad_u0.jpg	Actinopteri
Fistularia commersonii	217966	https://upload.wikimedia.org/wikipedia/commons/c/c3/Red_sea-reef_3769.jpg	Actinopteri
Pseudorca crassidens	137104	https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/False_killer_whale_890002.jpg/330px-False_killer_whale_890002.jpg	Mammalia
Centrolabrus melanocercus	1022907	https://www.meerwasser-lexikon.de/imgHaupt/18339_vrChTbgeMU.jpg	Actinopteri
Cyclothone braueri	127284	https://adriaticnature.com/wp-content/uploads/2015/12/Cylothone-braueri.jpg	Actinopteri
Pyura microcosmus	103851	https://www.meerwasser-lexikon.de/imgHaupt/27796_E7abeYfcer.jpg	Ascidiacea
Mullus barbatus	126985	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Salmonete_de_fango_%28Mullus_barbatus%29%2C_Parque_natural_de_la_Arr%C3%A1bida%2C_Portugal%2C_2020-07-21%2C_DD_59.jpg/1920px-Salmonete_de_fango_%28Mullus_barbatus%29%2C_Parque_natural_de_la_Arr%C3%A1bida%2C_Portugal%2C_2020-07-21%2C_DD_59.jpg	Actinopteri
Pycnoclavella nana	422932	http://www.habitas.org.uk/marinelife/tunicata/img078s.jpg	Ascidiacea
Gymnothorax unicolor	126301	https://images.reeflifesurvey.com/1/species_1b_5dd081a2b8bbd.w1300.h866.jpg	Actinopteri
Peristedion cataphractum	127233	https://adriaticnature.com/wp-content/uploads/2016/01/Peristedion-cataphractum-2.jpg	Actinopteri
Hygophum benoiti	126602	https://adriaticnature.com/wp-content/uploads/2015/12/Hygophum-benoiti.jpg	Actinopteri
Arnoglossus thori	127128	https://www.fishbase.se/images/species/Artho_u0.jpg	Actinopteri
Labrus bergylta	126965	https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Labrus_bergylta_%28Gootebank%29.jpg/1024px-Labrus_bergylta_%28Gootebank%29.jpg	Actinopteri
Globicephala melas	137097	https://www.tauchen-auf-den-kanaren.de/wp-content/uploads/2017/05/Gew%C3%B6hnlicher-Grindwal-Pilotwal-Globicephala-melas-Teneriffa-Gran-Canaria-Whalewatching-Fuerteventura-Wale-Arten-Lanzarote-Walarten-La-Palma-Kanaren-Kanarische-Inseln-Atlantik.jpg.webp	Mammalia
Serranus hepatus	127042	https://adriaticnature.com/wp-content/uploads/2016/02/Serranus-hepatus-2.jpg	Actinopteri
Symphodus mediterraneus	273569	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Symphodus_mediterraneus.jpg/450px-Symphodus_mediterraneus.jpg	Actinopteri
Hyperoodon ampullatus	343899	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/WHITEHEADLAB_2017_B.jpg/450px-WHITEHEADLAB_2017_B.jpg	Mammalia
Katsuwonus pelamis	127018	https://upload.wikimedia.org/wikipedia/commons/8/8a/Katsuwonus_pelamis_Java.jpg	Actinopteri
Parablennius rouxi	273134	https://upload.wikimedia.org/wikipedia/commons/d/de/Parablennius_rouxi_03-09-06.jpg	Actinopteri
Boops boops	127047	https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Gelbstriemenbrasse_Boops_boops_Rovinj_Georg_Mrkvicka.jpg/1280px-Gelbstriemenbrasse_Boops_boops_Rovinj_Georg_Mrkvicka.jpg	Actinopteri
Alphestes afer	279567	https://www.fishbase.se/images/species/Alafe_u2.jpg	Actinopteri
Luvarus imperialis	126974	https://adriaticnature.com/wp-content/uploads/2016/03/Luvarus-imperialis.jpg	Actinopteri
Scorpaenodes albaiensis	218098	https://www.fishbase.se/images/species/Scalb_u5.jpg	Actinopteri
Nemichthys scolopaceus	126306	https://www.researchgate.net/profile/Peter-Moller-3/publication/260164337/figure/fig2/AS:297310429958150@1447895738372/Sneppeal-snipe-eel-Nemichthys-scolopaceus-108-cm-Skagerrak-2003-Foto-G.png	Actinopteri
Didemnum fulgens	103567	https://www.mer-littoral.org/32/photos/didemnum-fulgens-0m.jpg	Ascidiacea
Physeter macrocephalus	137119	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Mother_and_baby_sperm_whale.jpg/450px-Mother_and_baby_sperm_whale.jpg	Mammalia
Balaenoptera acutorostrata	137087	https://upload.wikimedia.org/wikipedia/commons/d/d9/Minke_Whale_%28NOAA%29.jpg	Mammalia
Chimaera monstrosa	105824	https://www.shark-references.com/images/species/5361.jpg	Holocephali
Uranoscopus scaber	127093	https://upload.wikimedia.org/wikipedia/commons/3/32/Uranoscopus_scaber_Rab.JPG	Actinopteri
Lepidorhombus boscii	127145	https://previews.agefotostock.com/previewimage/medibigoff/d1ecda690dfb49fe9a2fcac7ebbc9004/c54-2082636.jpg	Actinopteri
Ziphius cavirostris	137127	https://media.fisheries.noaa.gov/styles/full_width/s3/2021-07/750x500%20-%20SEFSC%20-%20Cuvier%27s%20beaked%20whale.jpg?itok=18DdoIi0	Mammalia
Lophius budegassa	126554	https://upload.wikimedia.org/wikipedia/commons/b/b7/Lophius_budegassa.jpg	Actinopteri
Serranus atricauda	127040	https://www.meerwasser-lexikon.de/imgHaupt/59270_5d6e1ecc73f89.jpg	Actinopteri
Galeus melastomus	105812	https://upload.wikimedia.org/wikipedia/commons/8/84/Galeus_melastomus_Sardinia.jpg	Elasmobranchii
Centracanthus cirrus	126827	https://upload.wikimedia.org/wikipedia/commons/7/7b/Centracanthus_cirrus_Juv_1.jpg?20090218120005	Actinopteri
Thalassoma pavo	126970	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Female_Thalassoma_pavo.JPG/1024px-Female_Thalassoma_pavo.JPG	Actinopteri
Pagrus pagrus	127063	https://upload.wikimedia.org/wikipedia/commons/2/23/Pagrus_pagrus_20-10-06.jpg	Actinopteri
Ariosoma balearicum	126283	https://www.fishbase.se/images/species/Arbal_u3.jpg	Actinopteri
Apogon imberbis	273021	https://upload.wikimedia.org/wikipedia/commons/c/c9/Apogon_imberbis_side.JPG	Actinopteri
Carapus acus	126661	https://www.meerwasser-lexikon.de/imgHaupt/54531_5a15d08216b99.jpg	Actinopteri
Naucrates ductor	126811	https://www.meerwasser-lexikon.de/imgHaupt/20419_REhN47zPAv.jpg	Actinopteri
Grampus griseus	137098	https://www.meerwasser-lexikon.de/imgHaupt/45129_UFfhMerWaT.jpg	Mammalia
Pyura dura	103849	https://www.mer-littoral.org/32/photos/pyura-dura-0m.jpg	Ascidiacea
Scyliorhinus canicula	105814	https://upload.wikimedia.org/wikipedia/commons/b/b6/Kleingefleckter_Katzenhai.jpg	Elasmobranchii
Aidablennius sphynx	126760	https://www.meerwasser-lexikon.de/imgHaupt/18250_mA5fbsG3CL.jpg	Actinopteri
Rhopalaea neapolitana	103736	https://www.mer-littoral.org/32/photos/rhopalaea-neapolitana-0m.jpg	Ascidiacea
Ctenolabrus rupestris	126964	https://www.meerwasser-lexikon.de/imgHaupt/35350_tyWzkZZ8sE.jpg	Actinopteri
Phycis phycis	126502	https://upload.wikimedia.org/wikipedia/commons/6/65/Phycis_phycis.jpg	Actinopteri
Caretta caretta	137205	https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Caretta_caretta_060417w2.jpg/1280px-Caretta_caretta_060417w2.jpg	Reptilia
Citharus linguatula	127130	https://adriaticnature.com/wp-content/uploads/2016/05/Citharus-linguatula.jpg	Actinopteri
Scarus frenatus	219113	https://www.meerwasser-lexikon.de/imgHaupt/65071_5fd3a9f8d29e3.jpg	Actinopteri
Oblada melanura	127056	https://www.meerwasser-lexikon.de/imgHaupt/39893_PRqZ4EAcK5.jpg	Actinopteri
Scomber japonicus	127022	https://www.meerwasser-lexikon.de/imgHaupt/20383_8Epzwqv2GA.jpg	Actinopteri
Cephalopholis taeniops	279154	https://www.meerwasser-lexikon.de/imgHaupt/18752_PhqxE4MYbB.jpg	Actinopteri
Spicara maena	126828	https://www.meerwasser-lexikon.de/imgHaupt/42387_2USpDwYWzB.jpg	Actinopteri
Parablennius sanguinolentus	126776	https://upload.wikimedia.org/wikipedia/commons/9/9b/Parablennius_sanguinolentus_Paros.JPG	Actinopteri
Stenella coeruleoalba	137107	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Delfini_tra_panarea_e_stromboli_2.jpg/450px-Delfini_tra_panarea_e_stromboli_2.jpg	Mammalia
Gobius auratus	126884	https://www.meerwasser-lexikon.de/imgHaupt/42371_FUd1aLrKAV.jpg	Actinopteri
Thorogobius ephippiatus	126937	https://www.meerwasser-lexikon.de/imgHaupt/42380_PAVrMcsJHn.jpg	Actinopteri
Pteroplatytrygon violacea	158540	https://www.meerwasser-lexikon.de/imgHaupt/20277_bHdd4UE1hc.jpg	Elasmobranchii
Raja asterias	105881	https://www.fishbase.se/images/species/Raast_u0.jpg	Elasmobranchii
Mola mola	127405	https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Mola_mola.jpg/1024px-Mola_mola.jpg	Actinopteri
Mobula mobular	105858	https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Mobula_breaching.jpg/1024px-Mobula_breaching.jpg	Elasmobranchii
Bothus podas	127129	https://upload.wikimedia.org/wikipedia/commons/5/51/Bothus_podas_Corse.JPG	Actinopteri
Notacanthus bonaparte	126642	https://images.marinespecies.org/thumbs/70356_notacanthus-bonapartei.jpg?w=700	Actinopteri
Apletodon incognitus	126511	https://www.fishbase.se/images/species/Apinc_u5.jpg	Actinopteri
Sphyraena sphyraena	127068	https://www.meerwasser-lexikon.de/imgHaupt/60974_5e1f7b67ec786.jpg	Actinopteri
Solea senegalensis	127159	https://www.fishbase.se/images/species/Sosen_u0.jpg	Actinopteri
Scorpaena notata	127246	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Scorpaena_notata_%28DFdB%29.JPG/1280px-Scorpaena_notata_%28DFdB%29.JPG	Actinopteri
Gobius bucchichi	126885	https://www.meerwasser-lexikon.de/imgHaupt/42373_6gDUyJEpZZ.jpg	Actinopteri
Halichoeres vrolikii	275805	https://www.meerwasser-lexikon.de/imgHaupt/14201_UHksfv1tqa.jpg	Actinopteri
